strain	originating_lab	submitting_lab	author
A/duck/Bangladesh/17D2182/2023	Icddr,b International Centre For Diarrhoeal Disease Research, Bangladesh	Centers For Disease Control And Prevention	Chowdury, S.; Rahman, M.Z.; Hossain, M. E.; Davis, T.; Di, H.; Johns, J.; Pusch, E.; Hatta, Y.; Cui, D.; De La Cruz, J.;Johnson, M.; Hatta, Y.; Jang, Y.;'
A/duck/Bangladesh/CE11309DB12DUO/2024	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/duck/Bangladesh/CE11309DB13DUC/2024	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/duck/Bangladesh/CE11309DB13DUO/2024	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/Victoria/149/2024	Royal Chidrens Hospital	Who Collaborating Centre For Reference And Research On Influenza	Deng,Y-M; Barr,I; Spirason,N;Iannello,P;Lau,H;Dong,X;Chanthalavanh,P;Lay,O;Edwards,S;Hirankitti,A;Dapat,C
A/India/MangalgiriNIV25594/2025	Icmr National Institute Of Virology	Icmr National Institute Of Virology	?
A/quail/Bangladesh/CDILIV54/2025	Central Disease Investigation Laboratory, Department Of Livestock Services		Hayat,S., Badhy,S., Ferdows,S., Ali,Y., Kundu,A.K., Pramanik,P., Chowdhury,M.T.A., Sufian,M.A., Islam,M.R. and Chowdhury,M.G.A.
A/chicken/Jashore/CDILIV55/2025	Central Disease Investigation Laboratory, Department Of Livestock Services		Hayat,S., Badhy,S., Ferdows,S., Ali,Y., Kundu,A.K., Pramanik,P., Chowdhury,M.T.A., Sufian,M.A., Islam,M.R. and Chowdhury,M.G.A.
A/chicken/Bangladesh/CDILIV58/2025	Central Disease Investigation Laboratory, Department Of Livestock Services		Hayat,S., Badhy,S., Ferdows,S., Ali,Y., Kundu,A.K., Pramanik,P., Chowdhury,M.T.A., Sufian,M.A., Islam,M.R. and Chowdhury,M.G.A.
A/Bangladesh/Khulna/IEDCRicddrbIC1/2025	"Iedcr Icddr,b "	Institute Of Epidemiology, Disease Control & Research (iedcr)	Manjur Hossain Khan Jony, Mst. Noorjahan Begum, Md. Shaheen Alam, Shah Niaz Md. Rubaid Anwar,Md. Abdul Aleem, Nur-E-Alam, Rashedul Hassan,GA Chowdhury, Monalisa, Sukesh C. Badhy, Ahmed Nawsher Alam, Fahmida Chowdhury, Mustafizur Rahman, Tahmina Shirin.
A/Bangladesh/KhulnaIEDCRicddrbIC2/2025	"Iedcr Icddr,b "	Institute Of Epidemiology, Disease Control & Research (iedcr)	Manjur Hossain Khan Jony, Mst. Noorjahan Begum, Md. Shaheen Alam, Shah Niaz Md. Rubaid Anwar, Md. Abdul Aleem, Rashedul Hassan, Monalisa, Tanzir Ahmed Shuvo, Ahmed Nawsher Alam, Fahmida Chowdhury, Mustafizur Rahman, Tahmina Shirin.
A/duck/Bangladesh/CE11607DA06DUO/2023	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/chicken/Bangladesh/CE11607CB23RO/2023	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/duck/Bangladesh/CE11607DA03DUO/2023	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/duck/Bangladesh/18B757/2023	International Centre For Diarrhoeal Disease Research (icddr,b)	International Centre For Diarrhoeal Disease Research (icddr,b)	Rahman, M.M.; Ami, J.Q.; Saha, A.; Sarwar, S.B.; Rashid, A.A.; Chowdhury, S; Rahman, M.Z.; Hossain, M.E.
A/duck/Bangladesh/61790/2024	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M. and Webby,R.J.
A/sonalichicken/Bangladesh/DP1218/2024	International Centre For Diarrhoeal Disease Research (icddr,b)	International Centre For Diarrhoeal Disease Research (icddr,b)	Ami, J.Q.; Rahman, M.M.; Saha, A.; Sarwar, S.B.; Rashid, A.A.; Chowdhury, S; Rahman, M.Z.; Hossain, M.E.
A/chicken/Bangladesh/15C600/2024	International Centre For Diarrhoeal Disease Research (icddr,b)	International Centre For Diarrhoeal Disease Research (icddr,b)	Ami, J.Q.; Rahman, M.M.; Saha, A.; Sarwar, S.B.; Chowdhury, S; Rahman, M.Z.; Hossain, M.E.
A/duck/Bangladesh/61785/2024	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M. and Webby,R.J.
A/duck/Bangladesh/61788/2024	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M. and Webby,R.J.
A/duck/Bangladesh/61793/2024	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M. and Webby,R.J.
A/duck/Bangladesh/61792/2024	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M. and Webby,R.J.
A/duck/Bangladesh/61789/2024	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M. and Webby,R.J.
A/duck/Bangladesh/64181/2024	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M. and Webby,R.J.
A/duck/Bangladesh/59133/2023	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M. and Webby,R.J.
A/duck/Bangladesh/63949/2024	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M. and Webby,R.J.
A/duck/Bangladesh/CE11608DA01DUO/2023	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/duck/Bangladesh/65054/2024	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M. and Webby,R.J.
A/duck/Bangladesh/58667/2023	Ceirr Influenza Data Processing And Communication Center, St. Jude Center Of Excellence For Influenza Research And Response		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M.; Webby,R.J.
A/duck/Bangladesh/58665/2023	Ceirr Influenza Data Processing And Communication Center, St. Jude Center Of Excellence For Influenza Research And Response		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M.; Webby,R.J.
A/duck/Bangladesh/17D2183/2023	Icddr,b International Centre For Diarrhoeal Disease Research, Bangladesh	Centers For Disease Control And Prevention	Chowdury, S.; Rahman, M.Z.; Hossain, M. E.; Davis, T.; Di, H.; Johns, J.; Pusch, E.; Hatta, Y.; Cui, D.; De La Cruz, J.;Johnson, M.; Hatta, Y.; Jang, Y.;'
A/duck/Bangladesh/17D2184/2023	Icddr,b International Centre For Diarrhoeal Disease Research, Bangladesh	Centers For Disease Control And Prevention	Chowdury, S.; Rahman, M.Z.; Hossain, M. E.; Davis, T.; Di, H.; Johns, J.; Pusch, E.; Hatta, Y.; Cui, D.; De La Cruz, J.;Johnson, M.; Hatta, Y.; Jang, Y.;'
A/duck/Bangladesh/CE11308DB12DUO/2023	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/duck/Bangladesh/59077/2023	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M. and Webby,R.J.
A/duck/Bangladesh/64184/2024	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M. and Webby,R.J.
A/duck/Bangladesh/17D2384/2024	International Centre For Diarrhoeal Disease Research (icddr,b)	International Centre For Diarrhoeal Disease Research (icddr,b)	Ami, J.Q.; Rahman, M.M.; Saha, A.; Sarwar, S.B.; Chowdhury, S; Rahman, M.Z.; Hossain, M.E.
A/duck/Bangladesh/17D2383/2024	International Centre For Diarrhoeal Disease Research (icddr,b)	International Centre For Diarrhoeal Disease Research (icddr,b)	Ami, J.Q.; Rahman, M.M.; Saha, A.; Sarwar, S.B.; Chowdhury, S; Rahman, M.Z.; Hossain, M.E.
A/backyardchicken/Bangladesh/17B804/2024	International Centre For Diarrhoeal Disease Research (icddr,b)	International Centre For Diarrhoeal Disease Research (icddr,b)	Ami, J.Q.; Rahman, M.M.; Saha, A.; Sarwar, S.B.; Rashid, A.A.; Chowdhury, S; Rahman, M.Z.; Hossain, M.E.
A/duck/Bangladesh/CE11308DB13DUO/2023	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/duck/Bangladesh/18D2223/2023	International Centre For Diarrhoeal Disease Research (icddr,b)	International Centre For Diarrhoeal Disease Research (icddr,b)	Rahman, M.M.; Ami, J.Q.; Saha, A.; Sarwar, S.B.; Rashid, A.A.; Chowdhury, S; Rahman, M.Z.; Hossain, M.E.
A/duck/Bangladesh/CE11507DB10DUO/2023	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/duck/Bangladesh/64270/2024	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M. and Webby,R.J.
A/duck/Bangladesh/59016/2023	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M. and Webby,R.J.
A/duck/Bangladesh/18D2365/2024	International Centre For Diarrhoeal Disease Research (icddr,b)	International Centre For Diarrhoeal Disease Research (icddr,b)	Ami, J.Q.; Rahman, M.M.; Saha, A.; Sarwar, S.B.; Chowdhury, S; Rahman, M.Z.; Hossain, M.E.
A/duck/Bangladesh/CE11609DB15DUO/2024	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/duck/Bangladesh/CE11609DB14DUO/2024	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/duck/Bangladesh/CE11609DB12DUO/2024	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/duck/Bangladesh/CE11609DB13DUO/2024	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/duck/Vietnam/Raho723S4563/2023	Center For Veterinary Diagnostics   Regional Animal Health Office No.6	Centers For Disease Control And Prevention	?
A/Cambodia/NPH230032/2023	National Institute Of Public Health	Institut Pasteur Du Cambodia	SIEGERS,Jurre; YANN,Sokhoun; KOL,Sonita; PUM,Leakhena; CHIN,Savuth; CHAU,Darapheak; CHHEA,Chhorvann; KARLSSON,Erik
A/duck/Vientiane/C4369/2023	Wonkwang University School Of Medicine, Infection Biology		Duong,B.T., Than,D., Theppangna,W., Yeo,J.S. and Park,H.
A/duck/LuangNamtha/2456/2024	Wonkwang University School Of Medicine, Infection Biology		Than,D., Theppangna,W., Yeo,S.J. and Park,H.
A/duck/Vientiane/C2431/2023	Wonkwang University School Of Medicine, Infection Biology		Duong,B.T., Than,D., Theppangna,W., Yeo,J.S. and Park,H.
A/duck/Vientiane/C2422/2023	Wonkwang University School Of Medicine, Infection Biology		Duong,B.T., Than,D., Theppangna,W., Yeo,J.S. and Park,H.
A/Duck/Lao/262/2025	Institut Pasteur Du Laos	Institut Pasteur Du Laos	Kedkeo INTAVONG, Philippe BUCHY, Gary WONG, Cecile TROUPIN
A/Environment/Lao/272/2025	Institut Pasteur Du Laos	Institut Pasteur Du Laos	Kedkeo INTAVONG, Philippe BUCHY, Gary WONG, Cecile TROUPIN
A/Environment/Lao/300/2025	Institut Pasteur Du Laos	Institut Pasteur Du Laos	Kedkeo INTAVONG, Philippe BUCHY, Gary WONG, Cecile TROUPIN
A/Environment/Lao/299/2025	Institut Pasteur Du Laos	Institut Pasteur Du Laos	Kedkeo INTAVONG, Philippe BUCHY, Gary WONG, Cecile TROUPIN
A/Environment/Lao/289/2025	Institut Pasteur Du Laos	Institut Pasteur Du Laos	Kedkeo INTAVONG, Philippe BUCHY, Gary WONG, Cecile TROUPIN
A/Environment/Lao/056/2024	Institut Pasteur Du Laos	Institut Pasteur Du Laos	Kedkeo INTAVONG; Philippe BUCHY; Gary WONG; Cecile TROUPIN
A/Environment/Lao/057/2024	Institut Pasteur Du Laos	Institut Pasteur Du Laos	Kedkeo INTAVONG; Philippe BUCHY; Gary WONG; Cecile TROUPIN
A/Environment/Lao/357/2025	Institut Pasteur Du Laos	Institut Pasteur Du Laos	Kedkeo INTAVONG, Philippe BUCHY, Gary WONG, Cecile TROUPIN
A/Environment/Lao/358/2025	Institut Pasteur Du Laos	Institut Pasteur Du Laos	Kedkeo INTAVONG, Philippe BUCHY, Gary WONG, Cecile TROUPIN
A/Duck/Lao/019/2024	Institut Pasteur Du Laos	Institut Pasteur Du Laos	Kedkeo INTAVONG; Philippe BUCHY; Gary WONG; Cecile TROUPIN
A/Environment/Lao/347/2025	Institut Pasteur Du Laos	Institut Pasteur Du Laos	Kedkeo INTAVONG, Philippe BUCHY, Gary WONG, Cecile TROUPIN
A/Duck/Lao/207/2024	Institut Pasteur Du Laos	Institut Pasteur Du Laos	Kedkeo INTAVONG, Philippe BUCHY, Gary WONG, Cecile TROUPIN
A/Duck/Lao/205/2024	Institut Pasteur Du Laos	Institut Pasteur Du Laos	Kedkeo INTAVONG, Philippe BUCHY, Gary WONG, Cecile TROUPIN
A/Duck/Lao/022/2024	Institut Pasteur Du Laos	Institut Pasteur Du Laos	Kedkeo INTAVONG; Philippe BUCHY; Gary WONG; Cecile TROUPIN
A/Environment/Lao/035/2024	Institut Pasteur Du Laos	Institut Pasteur Du Laos	Kedkeo INTAVONG; Philippe BUCHY; Gary WONG; Cecile TROUPIN
A/Environment/Lao/036/2024	Institut Pasteur Du Laos	Institut Pasteur Du Laos	Kedkeo INTAVONG; Philippe BUCHY; Gary WONG; Cecile TROUPIN
A/Cambodia/KSH240409/2024	National Institute Of Public Health	Institut Pasteur Du Cambodia	YANN,Sokhoun;KOL,Sonita;PUM, Leakhena;SIEGERS,Jurre;HORM, SreyViseth;CHIN,Savuth;CHAU,Darapheak;CHHEA,Chhorvann;DUONG,Veasna;KARLSSON,Erik
A/Duck/Cambodia/W47h1T241D17T/2023	"Institut Pasteur Du Cambodia "	Institut Pasteur Du Cambodia	YANN,Sokhoun;KOL,Sonita;SIEGERS,Jurre;HORM, SreyViseth;TUM, Sothyra;SAN, Sorn;DUONG, Veasna;KARLSSON,Erik
A/Duck/Cambodia/i5K241D5T/2024	"Institut Pasteur Du Cambodia "	Institut Pasteur Du Cambodia	YANN,Sokhoun;KOL,Sonita;SIEGERS,Jurre;HORM, SreyViseth;TUM, Sothyra;SAN, Sorn;DUONG, Veasna;KARLSSON,Erik
A/duck/Vietnam/Raho723S2490/2023	Center For Veterinary Diagnostics   Regional Animal Health Office No.6	Centers For Disease Control And Prevention	?
A/duck/Vietnam/Raho723S2875/2023	Center For Veterinary Diagnostics   Regional Animal Health Office No.6	Centers For Disease Control And Prevention	?
A/duck/Vietnam/Raho723S2874/2023	Center For Veterinary Diagnostics   Regional Animal Health Office No.6	Centers For Disease Control And Prevention	?
A/Cambodia/NIPH2402155/2024	National Institute Of Public Health	National Institute Of Public Health	Chhorvann,CHHEA;Darapheak,CHAU;Sitha,PRUM;Visal,CHHE;Sokha,DUL;Sengly,MANH;Phally,VY; Borann,SAR;Chanthap,LON;Jessica E,Manning;Sophana,Chea;Savuth,CHIN
A/Cambodia/24020155/2024	National Institute Of Public Health	Centers For Disease Control And Prevention	Chhorvann, C; Darapheak, C; Sitha, P; Visal, C; Sokha, D; Sengly, M; Phally, V; Savuth, C
A/Cambodia/24020179/2024	National Institute Of Public Health	Centers For Disease Control And Prevention	Chhorvann, C; Darapheak, C; Sitha, P; Visal, C; Sokha, D; Sengly, M; Phally, V; Savuth, C
A/Chicken/Cambodia/i5K241C6T/2024	"Institut Pasteur Du Cambodia "	Institut Pasteur Du Cambodia	YANN,Sokhoun;KOL,Sonita;SIEGERS,Jurre;HORM, SreyViseth;TUM, Sothyra;SAN, Sorn;DUONG, Veasna;KARLSSON,Erik
A/Environment/Cambodia/i5T241WW2E/2024	"Institut Pasteur Du Cambodia "	Institut Pasteur Du Cambodia	YANN,Sokhoun;KOL,Sonita;SIEGERS,Jurre;HORM, SreyViseth;TUM, Sothyra;SAN, Sorn;DUONG, Veasna;KARLSSON,Erik
A/Duck/Cambodia/W49h3K241D3T/2023	"Institut Pasteur Du Cambodia "	Institut Pasteur Du Cambodia	YANN,Sokhoun;KOL,Sonita;SIEGERS,Jurre;HORM, SreyViseth;TUM, Sothyra;SAN, Sorn;DUONG, Veasna;KARLSSON,Erik
A/duck/Cambodia/W47h1T241D11T/2023	"Institut Pasteur Du Cambodia "	Institut Pasteur Du Cambodia	YANN,Sokhoun;PUM,Leakhena;SIEGERS,Jurre;HORM, SreyViseth;TUM, Sothyra;SAN, Sorn;DUONG, Veasna;KARLSSON,Erik
A/Chicken/Cambodia/W49h3PPChba241C8T/2023	"Institut Pasteur Du Cambodia "	Institut Pasteur Du Cambodia	YANN,Sokhoun;KOL,Sonita;SIEGERS,Jurre;HORM, SreyViseth;TUM, Sothyra;SAN, Sorn;DUONG, Veasna;KARLSSON,Erik
A/Duck/Cambodia/W49h3PPChba241D3T/2023	"Institut Pasteur Du Cambodia "	Institut Pasteur Du Cambodia	YANN,Sokhoun;KOL,Sonita;SIEGERS,Jurre;HORM, SreyViseth;TUM, Sothyra;SAN, Sorn;DUONG, Veasna;KARLSSON,Erik
A/Duck/Cambodia/i5K241D7T/2024	"Institut Pasteur Du Cambodia "	Institut Pasteur Du Cambodia	YANN,Sokhoun;KOL,Sonita;SIEGERS,Jurre;HORM, SreyViseth;TUM, Sothyra;SAN, Sorn;DUONG, Veasna;KARLSSON,Erik
A/Duck/Cambodia/i5K241D10T/2024	"Institut Pasteur Du Cambodia "	Institut Pasteur Du Cambodia	YANN,Sokhoun;KOL,Sonita;SIEGERS,Jurre;HORM, SreyViseth;TUM, Sothyra;SAN, Sorn;DUONG, Veasna;KARLSSON,Erik
A/Duck/Cambodia/i5K241D8T/2024	"Institut Pasteur Du Cambodia "	Institut Pasteur Du Cambodia	YANN,Sokhoun;KOL,Sonita;SIEGERS,Jurre;HORM, SreyViseth;TUM, Sothyra;SAN, Sorn;DUONG, Veasna;KARLSSON,Erik
A/Duck/Cambodia/W47h1T241D20T/2023	"Institut Pasteur Du Cambodia "	Institut Pasteur Du Cambodia	YANN,Sokhoun;KOL,Sonita;SIEGERS,Jurre;HORM, SreyViseth;TUM, Sothyra;SAN, Sorn;DUONG, Veasna;KARLSSON,Erik
A/Cambodia/2311257/2023	National Institute Of Public Health	National Institute Of Public Health	Chhorvann,CHHEA;Darapheak,CHAU;Sitha,PRUM;Visal,CHHE;Sokha,DUL;Sengly,MANH;Phally,VY; Borann,SAR;Chanthap,LON;Jessica E,Manning;Sophana,Chea;Savuth,CHIN
A/Chicken/Cambodia/W47h1PPOreu241C9T/2023	"Institut Pasteur Du Cambodia "	Institut Pasteur Du Cambodia	YANN,Sokhoun;KOL,Sonita;SIEGERS,Jurre;HORM, SreyViseth;TUM, Sothyra;SAN, Sorn;DUONG, Veasna;KARLSSON,Erik
A/Duck/Cambodia/W47h1PPChba241D10C/2023	"Institut Pasteur Du Cambodia "	Institut Pasteur Du Cambodia	YANN,Sokhoun;KOL,Sonita;SIEGERS,Jurre;HORM, SreyViseth;TUM, Sothyra;SAN, Sorn;DUONG, Veasna;KARLSSON,Erik
A/Cambodia/KSH230332/2023	National Institute Of Public Health	National Institute Of Public Health	Chhorvann,CHHEA;Darapheak,CHAU;Sitha,PRUM;Visal,CHHE;Sokha,DUL;Sengly,MANH;Phally,VY; Borann,SAR;Chanthap,LON;Jessica E,Manning;Sophana,Chea;Savuth,CHIN
A/Chicken/Cambodia/W47h1K222C10T/2023	"Institut Pasteur Du Cambodia "	Institut Pasteur Du Cambodia	YANN,Sokhoun;KOL,Sonita;SIEGERS,Jurre;HORM, SreyViseth;TUM, Sothyra;SAN, Sorn;DUONG, Veasna;KARLSSON,Erik
A/Vietnam/5EI1001/2025	Oxford University Clinical Research Unit	Oxford University Clinical Research Unit   Hcmc	Phung Nguyen The Nguyen, Nguyen Van Vinh Chau, Nguyen Thanh Hung, Ngo Ngoc Quang Minh, Le Nguyen Thanh Nhan, Du Tuan Quy, Nguyen Thi Thu Hong, Nguyen Thi Han Ny, Truong Hoang Chau Truc, Le Nguyen Truc Nhu, Lam Anh Nguyet, Tran Thi Thanh Tam, Le Thi Tam Uyen, Nguyen Thanh Dung, Nghiem My Ngoc and Le Van Tan
A/Cambodia/SVH240441/2024	National Institute Of Public Health	Institut Pasteur Du Cambodia	YANN,Sokhoun; KOL,Sonita; PUM, Leakhena SIEGERS,Jurre; HORM, SreyViseth; CHIN,Savuth; CHAU,Darapheak; CHHEA,Chhorvann; DUONG,Veasna; KARLSSON,Erik
A/Cambodia/SVH240441n/2025	National Institute Of Public Health	National Institute Of Public Health	Chhorvann, CHHEA;Darapheak,CHAU;Sitha,PRUM;Visal,CHHE;Sokha,DUL;Sengly,MANH;Phally,VY; Borann,SAR;Chanthap,LON;Jessica E,Manning;Sophana,Chea;Savuth,CHIN
A/DuckMuscovy/Vietnam/Raho623262125/2023	Center For Veterinary Diagnostics   Regional Animal Health Office No.6	Centers For Disease Control And Prevention	?
A/ostrich/Vietnam/Raho624433/2024	Center For Veterinary Diagnostics   Regional Animal Health Office No.6	Centers For Disease Control And Prevention	?
A/Quail/Vietnam/Raho624432/2024	Center For Veterinary Diagnostics   Regional Animal Health Office No.6	Centers For Disease Control And Prevention	?
A/DuckMuscovy/Vietnam/Raho62332914/2023	Center For Veterinary Diagnostics   Regional Animal Health Office No.6	Centers For Disease Control And Prevention	?
A/chicken/Vietnam/Raho4Cd24586/2024	Center For Veterinary Diagnostics   Regional Animal Health Office No.6	Centers For Disease Control And Prevention	?
A/Vietnam/KhanhhoaRV1005/2024	Pasteur Institute In Nha Trang	National Institute Of Hygiene And Epidemiology (nihe)	Hung,Do Thai; Anh,Dao The;  Anh,Ha Tuan
A/KhanhHoa/RV1005/2024	Cdc Khanh Hoa	Pasteur Institute In Nha Trang	Ngoc, VT; Long, TH; Trieu, NB; Mai, HK; Huyen, LM; Hung, DT
A/chicken/Vietnam/Raho4Cd24587/2024	Center For Veterinary Diagnostics   Regional Animal Health Office No.6	Centers For Disease Control And Prevention	?
A/chicken/Vietnam/Raho4Cd24584/2024	Center For Veterinary Diagnostics   Regional Animal Health Office No.6	Centers For Disease Control And Prevention	?
A/chicken/Vietnam/Raho4Cd24585/2024	Center For Veterinary Diagnostics   Regional Animal Health Office No.6	Centers For Disease Control And Prevention	?
A/Duck/Cambodia/W47h1PPOreu241D10T/2023	"Institut Pasteur Du Cambodia "	Institut Pasteur Du Cambodia	YANN,Sokhoun;KOL,Sonita;SIEGERS,Jurre;HORM, SreyViseth;TUM, Sothyra;SAN, Sorn;DUONG, Veasna;KARLSSON,Erik
A/chicken/Vietnam/Raho62329606/2023	Center For Veterinary Diagnostics   Regional Animal Health Office No.6	Centers For Disease Control And Prevention	?
